stationId,latitude,longitude,products
KWIDEERF8,43.0804,-89.07057,pws
KWIBLACK33,43.10098,-89.73912,pws
KWIBLACK34,43.107,-89.75,pws
KWICROSS12,43.1046,-89.66382,pws
KWICROSS27,43.105,-89.664,pws
KWIBLACK65,43.075,-89.782,pws
KWIBLACK22,43.07518,-89.78249,pws
KWIBLACK23,43.10343,-89.77702,pws
KWICROSS22,43.1,-89.625,pws
KWICROSS23,43.124,-89.643,pws
KWICROSS2,43.1232,-89.639,pws
KWICROSS20,43.124,-89.64,pws
KWICROSS17,43.099,-89.602,pws
KWIVERON91,43.071,-89.59,pws
KWIVERON62,43.072,-89.584,pws
KWIMIDDL58,43.074,-89.558,pws
KWIMIDDL19,43.0817,-89.55703,pws
KWIMIDDL65,43.075,-89.549,pws
KWIMADIS262,43.081,-89.542,pws
KWIMADIS292,43.08331,-89.51852,pws
KWIMADIS252,43.083,-89.515,pws
KWIMADIS306,43.083,-89.515,pws
KWIMADIS176,43.07647,-89.50452,pws
KWIMADIS205,43.07707,-89.50633,pws
KWIMIDDL46,43.084,-89.5,pws
KWIMADIS272,43.081,-89.495,pws
KWIMADIS332,43.081,-89.495,pws
KWIMADIS417,43.073,-89.49,pws
KWIMADIS412,43.07,-89.459,pws
KWIMADIS278,43.074,-89.473,pws
KWIMADIS250,43.069,-89.465,pws
KWIMADIS347,43.068,-89.462,pws
KWIMADIS435,43.068,-89.462,pws
KWIMADIS380,43.07,-89.472,pws
KWIMADIS138,43.0689,-89.47098,pws
KWIMADIS335,43.069,-89.474,pws
KWIMADIS65,43.06667,-89.45343,pws
KWIMADIS259,43.07,-89.446,pws
KWIMADIS35,43.07278,-89.41222,pws
KWIMADIS362,43.069,-89.419,pws
KWIMADIS359,43.07,-89.43,pws
KWIMADIS381,43.07,-89.43,pws
KWIMADIS352,43.068,-89.414,pws
KWIMADIS52,43.07085,-89.4069,pws
KWIMADIS265,43.07378,-89.43595,pws
KWIMADIS334,43.0732,-89.43672,pws
KWIMADIS423,43.082,-89.364,pws
KWIMADIS266,43.08699,-89.39696,pws
KWIMADIS41,43.08825,-89.35698,pws
KWIMADIS349,43.097,-89.369,pws
KWIMADIS389,43.09754,-89.35804,pws
KWIMADIS393,43.098,-89.357,pws
KWIMADIS394,43.098,-89.357,pws
KWIMONON7,43.068,-89.34,pws
KWIMADIS446,43.078,-89.319,pws
KWIMADIS237,43.089,-89.32,pws
KWIMADIS331,43.092,-89.32,pws
KWIMADIS308,43.09632,-89.33711,pws
KWIMADIS345,43.0965,-89.34536,pws
KWIMADIS353,43.082,-89.301,pws
KWIMADIS288,43.081,-89.303,pws
KWIMADIS235,43.086,-89.282,pws
KWIMADIS411,43.092,-89.29,pws
KWIMADIS314,43.094,-89.304,pws
KWIMADIS429,43.091,-89.273,pws
KWIMADIS247,43.097,-89.236,pws
KWICOTTA19,43.11517,-89.17268,pws
KWICOTTA40,43.103,-89.21,pws
KWIBLACK39,43.15698,-89.74235,pws
KWIMIDDL11,43.11722,-89.59227,pws
KWIMIDDL39,43.12934,-89.59588,pws
KWIMIDDL12,43.14282,-89.56567,pws
KWIMIDDL54,43.11919,-89.53368,pws
KWIMIDDL53,43.121,-89.522,pws
KWIMIDDL41,43.10685,-89.50658,pws
KWIMIDDL36,43.11037,-89.49591,pws
KWIMIDDL62,43.111,-89.495,pws
KWIMIDDL14,43.10178,-89.49596,pws
KWIMIDDL69,43.11,-89.492,pws
KWIMIDDL64,43.11,-89.478,pws
KWIMADIS242,43.08751,-89.48583,pws
KWIMIDDL23,43.11671,-89.46587,pws
